skillId,name,verbatimDescription,shortDescription,contextNotes,skillType,tier,taxonomyGroupIds,trainingGroupIds,minimumSocietyLevel,typicalSocietyTypeIds,dependencyRules,secondaryOfSkillId,specializationOfSkillId,specializationMinimumParentLevel,notes,isTheoretical,characteristicIds,sortOrder
literacy,Literacy,Literacy,Read and write a script used by the character’s culture.,Gateway skill for learned and administrative roles.,knowledge,primary,"[""humanities""]","[""literate_foundation"", ""civic_learning""]",3,[],[],,,,,False,[],10
language,Language,Language,Speak and understand a language.,Spoken language is universal; written use depends on Literacy.,knowledge,primary,"[""humanities""]",[],1,[],[],,,,,False,[],11
specific_language,Specific Language,,Mastery of one specific language.,"Best for scholars, diplomats, merchants, and elite specialists.",knowledge,specialization,"[""humanities""]",[],1,[],"[{""skillId"": ""language"", ""strength"": ""required""}]",,language,6.0,,False,[],12
history,History,History,"Know remembered past events, lineages, places, and major developments.",Exists orally and textually; becomes broader in literate societies.,knowledge,primary,"[""humanities""]","[""literate_foundation"", ""sacred_learning""]",2,[],"[{""skillId"": ""language"", ""strength"": ""helpful""}, {""skillId"": ""literacy"", ""strength"": ""helpful""}]",,,,,False,[],13
theology,Theology,Theology,"Know religious belief, doctrine, rites, and sacred tradition.",More formal in organized sacred cultures.,knowledge,primary,"[""humanities""]","[""sacred_learning""]",2,[],"[{""skillId"": ""language"", ""strength"": ""helpful""}, {""skillId"": ""literacy"", ""strength"": ""helpful""}]",,,,,False,[],14
philosophy,Philosophy,,"Use structured reasoning about ethics, logic, metaphysics, and knowledge.",High-culture intellectual skill.,knowledge,primary,"[""humanities""]",[],5,[],"[{""skillId"": ""literacy"", ""strength"": ""required""}, {""skillId"": ""history"", ""strength"": ""helpful""}]",,,,,True,[],15
law,Law,,"Know legal rules, disputes, property, obligations, and judgment.",Broad legal-cultural skill; could later split customary vs codified law.,knowledge,primary,"[""humanities""]","[""civic_learning""]",3,[],"[{""skillId"": ""literacy"", ""strength"": ""recommended""}]",,,,,True,[],16
bureaucratic_writing,Bureaucratic Writing,,"Write formal records, reports, decrees, petitions, and official correspondence.",Narrower than full literate culture; ideal half-cost support skill.,knowledge,secondary,"[""operations""]","[""civic_learning"", ""commercial_administration""]",4,[],"[{""skillId"": ""literacy"", ""strength"": ""required""}, {""skillId"": ""law"", ""strength"": ""helpful""}, {""skillId"": ""administration"", ""strength"": ""helpful""}]",,,,,False,[],17
rhetorical_composition,Rhetorical Composition,,"Compose persuasive, formal, or elegant argument.",Elite text/speech support skill.,knowledge,secondary,"[""humanities""]","[""civic_learning""]",5,[],"[{""skillId"": ""literacy"", ""strength"": ""required""}, {""skillId"": ""language"", ""strength"": ""required""}, {""skillId"": ""philosophy"", ""strength"": ""helpful""}]",,,,,True,[],18
measurement,Measurement,,"Apply length, area, weight, volume, and proportion in practical use.",Practical learned gateway.,knowledge,primary,"[""physical_science""]","[""technical_measurement"", ""maritime_navigation""]",3,[],[],,,,,False,[],19
mathematics,Mathematics,Mathematics,"Use number, proportion, calculation, and quantitative reasoning.",Broad technical/scholarly core.,knowledge,primary,"[""physical_science""]","[""technical_measurement"", ""learned_natural_inquiry""]",4,[],"[{""skillId"": ""measurement"", ""strength"": ""recommended""}]",,,,,True,[],20
astronomy,Astronomy,,"Understand celestial movement for calendar, orientation, or study.",Learned sky science.,knowledge,primary,"[""physical_science""]","[""learned_natural_inquiry""]",4,[],"[{""skillId"": ""mathematics"", ""strength"": ""recommended""}, {""skillId"": ""literacy"", ""strength"": ""helpful""}]",,,,,True,[],21
alchemy,Alchemy,,"Work with substances, transformations, mixtures, and proto-chemical theory.",Advanced-setting learned craft/science skill.,knowledge,primary,"[""physical_science""]","[""learned_natural_inquiry""]",4,[],"[{""skillId"": ""measurement"", ""strength"": ""helpful""}, {""skillId"": ""mathematics"", ""strength"": ""helpful""}, {""skillId"": ""literacy"", ""strength"": ""helpful""}]",,,,,True,[],22
natural_philosophy,Natural Philosophy,,"Reason about nature, matter, and the physical world.",Better as an elite support skill than a base profession skill.,knowledge,secondary,"[""physical_science""]","[""learned_natural_inquiry""]",5,[],"[{""skillId"": ""literacy"", ""strength"": ""required""}, {""skillId"": ""philosophy"", ""strength"": ""required""}]",,,,,True,[],23
surveying,Surveying,,"Measure land, boundaries, gradients, and layout in the field.","Practical land-measurement and site-layout skill for builders, engineers, roads, estates, and fortifications.",knowledge,secondary,"[""physical_science""]","[""technical_measurement""]",3,[],"[{""skillId"": ""measurement"", ""strength"": ""required""}]",,,,,False,[],24
mechanics,Mechanics,,"Understand simple machines, force transfer, moving parts, and practical mechanisms.","Applied technical skill for devices, structural motion, simple machines, and engineering problem-solving.",knowledge,secondary,"[""physical_science""]",[],4,[],"[{""skillId"": ""measurement"", ""strength"": ""helpful""}, {""skillId"": ""mathematics"", ""strength"": ""helpful""}]",,,,,False,[],25
bargaining,Bargaining,Bargaining,"Negotiate prices, terms, favors, and exchanges.",Universal exchange skill.,profession,primary,"[""operations""]","[""mercantile_practice""]",1,[],[],,,,,False,[],30
gambling,Gambling,Gambling,"Understand games of chance, betting behavior, and risk-taking.","Flavorful, broad social/practical skill.",profession,primary,"[""operations""]",[],1,[],[],,,,,False,[],31
trading,Trading,,"Manage regular exchange of goods across households, markets, or routes.",Strong merchant core.,profession,primary,"[""operations""]","[""mercantile_practice"", ""transport_and_caravan_work""]",2,[],"[{""skillId"": ""bargaining"", ""strength"": ""helpful""}, {""skillId"": ""literacy"", ""strength"": ""helpful""}]",,,,,False,[],32
banking,Banking,,"Handle credit, deposits, transfers, loans, and financial instruments.",High-society commercial core.,profession,primary,"[""operations""]",[],5,[],"[{""skillId"": ""literacy"", ""strength"": ""required""}, {""skillId"": ""trading"", ""strength"": ""required""}, {""skillId"": ""bookkeeping"", ""strength"": ""required""}]",,,,,False,[],33
administration,Administration,,"Run offices, records, logistics, and institutional routine.","Core official, steward, and governance skill.",profession,primary,"[""operations""]","[""commercial_administration""]",4,[],"[{""skillId"": ""literacy"", ""strength"": ""required""}, {""skillId"": ""bureaucratic_writing"", ""strength"": ""helpful""}]",,,,,False,[],34
intrigue,Intrigue,,"Work within covert politics, factions, patronage, and hidden agendas.",Court and political professional core.,profession,primary,"[""operations""]","[""political_acumen""]",3,[],"[{""skillId"": ""insight"", ""strength"": ""helpful""}, {""skillId"": ""etiquette"", ""strength"": ""helpful""}, {""skillId"": ""administration"", ""strength"": ""helpful""}]",,,,,False,[],35
bookkeeping,Bookkeeping,,"Keep structured records of quantities, payments, inventories, and obligations.",Ideal half-cost commercial support skill.,profession,secondary,"[""operations""]","[""commercial_administration""]",4,[],"[{""skillId"": ""literacy"", ""strength"": ""required""}, {""skillId"": ""trading"", ""strength"": ""helpful""}]",,,,,False,[],36
appraisal,Appraisal,,"Estimate quality, authenticity, condition, and value of goods.",Valuable merchant and rogue support skill.,profession,secondary,"[""operations""]","[""mercantile_practice""]",2,[],"[{""skillId"": ""bargaining"", ""strength"": ""helpful""}, {""skillId"": ""trading"", ""strength"": ""helpful""}]",,,,,False,[],37
etiquette,Etiquette,,"Know expected manners, forms of respect, and socially correct behavior.",Broad elite-social core.,social,primary,"[""humanities""]","[""courtly_formation""]",3,[],[],,,,,False,[],40
etiquette_by_culture,Etiquette by Culture,,Apply etiquette within one specific culture or court tradition.,Strong diplomat and court specialization.,social,specialization,"[""humanities""]",[],3,[],"[{""skillId"": ""etiquette"", ""strength"": ""required""}]",,etiquette,6.0,,False,[],41
heraldry,Heraldry,Heralrdy,"Recognize arms, badges, lineages, and formal symbols of status.",Distinct noble and military identity skill.,social,primary,"[""humanities""]","[""courtly_formation""]",4,[],"[{""skillId"": ""etiquette"", ""strength"": ""required""}]",,,,,False,[],42
courtly_protocol,Courtly Protocol,,"Manage precedence, audiences, titles, and ceremonial court behavior.",Narrow but strong elite support skill.,social,secondary,"[""humanities""]","[""courtly_formation""]",4,[],"[{""skillId"": ""etiquette"", ""strength"": ""required""}]",,,,,False,[],43
insight,Insight,,"Read mood, intention, sincerity, fear, uncertainty, or emotional state.",Broad social-reading core.,social,primary,"[""humanities""]","[""political_acumen"", ""social_reading""]",1,[],[],,,,,False,[],44
social_perception,Social Perception,,"Notice status cues, alliances, tension, and interpersonal dynamics in groups.",Group-reading support skill.,social,secondary,"[""humanities""]","[""political_acumen"", ""social_reading""]",2,[],"[{""skillId"": ""insight"", ""strength"": ""required""}]",,,,,False,[],45
detect_lies,Detect Lies,,Judge whether speech or behavior suggests deception or concealment.,Narrow but strong support skill.,social,secondary,"[""humanities""]","[""social_reading""]",3,[],"[{""skillId"": ""insight"", ""strength"": ""required""}, {""skillId"": ""etiquette"", ""strength"": ""helpful""}]",,,,,False,[],46
seduction,Seduction,Seduction,"Influence attraction or intimacy through timing, attention, and emotional reading.",Attractive but niche social support skill.,social,secondary,"[""humanities""]",[],2,[],"[{""skillId"": ""insight"", ""strength"": ""required""}, {""skillId"": ""etiquette"", ""strength"": ""helpful""}]",,,,,False,[],47
singing,Singing,,"Use the voice for song, pitch, rhythm, and expression.",Broad expressive and social primary.,social,primary,"[""performance_group""]","[""performance_basics""]",1,[],[],,,,,False,[],48
dancing,Dancing,Dancing,"Perform structured or improvised movement for ritual, celebration, or display.",Broad expressive and social primary.,social,primary,"[""performance_group""]","[""performance_basics""]",1,[],[],,,,,False,[],49
storytelling,Storytelling,,"Hold attention through spoken narrative, pacing, memory, and dramatic delivery.",Strong oral-performance core.,social,primary,"[""performance_group""]","[""performance_basics""]",1,[],[],,,,,False,[],50
music,Music,,Play or perform structured instrumental music.,Performance profession core.,social,primary,"[""performance_group""]","[""performance_basics""]",2,[],[],,,,,False,[],51
acting,Acting,Acting,"Adopt role, gesture, emotion, and presentation for staged or social performance.",Strong performer and infiltrator support skill.,social,secondary,"[""performance_group""]","[""formal_performance""]",3,[],"[{""skillId"": ""storytelling"", ""strength"": ""recommended""}]",,,,,False,[],52
recitation,Recitation,,"Deliver memorized text, verse, doctrine, or formal speech with control.",Good formal-performance support skill.,social,secondary,"[""performance_group""]","[""formal_performance""]",3,[],"[{""skillId"": ""language"", ""strength"": ""recommended""}]",,,,,False,[],53
oratory,Oratory,Oratory,"Deliver persuasive public speech to assemblies, courts, or elites.",Strong elite public-speaking support skill.,social,secondary,"[""performance_group""]","[""formal_performance""]",4,[],"[{""skillId"": ""language"", ""strength"": ""required""}, {""skillId"": ""rhetorical_composition"", ""strength"": ""helpful""}]",,,,Themistogenes Skills sheet: Social skill; source stats Int / Cha.,False,[],54
concentration,Concentration,,Sustain attention and mental focus under distraction or pressure.,Broad mental-discipline core.,mental,primary,"[""mental_group""]","[""mental_discipline""]",1,[],[],,,,,False,[],60
memory,Memory,,"Retain, recall, and organize learned details or patterns.",Broad cognitive core.,mental,primary,"[""mental_group""]","[""mental_discipline""]",1,[],[],,,,,False,[],61
self_control,Self-Control,,"Govern impulse, fear, pain response, and emotional reaction under pressure.",Broad mental and emotional control core.,mental,primary,"[""mental_group""]","[""mental_discipline""]",1,[],[],,,,,False,[],62
meditation,Meditation,,"Use disciplined stillness, breath, or contemplation to regulate inner state.",Good niche mental support skill.,mental,secondary,"[""mental_group""]","[""mental_discipline""]",2,[],"[{""skillId"": ""concentration"", ""strength"": ""required""}]",,,,,False,[],63
perception,Perception,Perception,"Notice relevant details, threats, movement, and hidden information.",Core observation skill in and out of combat.,awareness,primary,"[""security"", ""military_group"", ""mental_group""]","[""basic_missile_training"", ""officer_training"", ""veteran_soldiering""]",1,[],[],,,,Themistogenes Skills sheet: Action skill; source stats Int / Pow; note: 'no more luck'.,False,[],64
animal_care,Animal care,Animal care,"Feed, calm, house, and maintain animals in routine condition.",Broad baseline animal profession skill.,wilderness,primary,"[""animal_handling"", ""wilderness_group""]","[""animal_husbandry"", ""mounted_service"", ""transport_and_caravan_work""]",1,[],[],,,,,False,[],70
animal_training,Animal Training,,Train animals to obey commands or perform useful tasks.,Broad trainer role.,wilderness,primary,"[""animal_handling"", ""wilderness_group""]","[""animal_husbandry"", ""mounted_service""]",2,[],"[{""skillId"": ""animal_care"", ""strength"": ""required""}]",,,,,False,[],71
herding,Herding,Herding,Manage grazing animals and control flock or herd behavior.,Strong low-level rural profession core.,wilderness,primary,"[""animal_handling"", ""wilderness_group""]","[""animal_husbandry""]",1,[],"[{""skillId"": ""animal_care"", ""strength"": ""helpful""}]",,,,,False,[],72
riding,Riding,Ride,"Ride and control a trained mount in travel, stress, or basic action.",Broad mounted-role core.,wilderness,primary,"[""animal_handling"", ""wilderness_group""]","[""mounted_service"", ""mounted_warrior_training""]",2,[],"[{""skillId"": ""animal_training"", ""strength"": ""helpful""}]",,,,,False,[],73
teamstering,Teamstering,,"Handle draft animals and direct wagons, carts, teams, or pack trains.",Strong practical support secondary.,wilderness,secondary,"[""animal_handling"", ""wilderness_group""]","[""transport_and_caravan_work""]",2,[],"[{""skillId"": ""animal_care"", ""strength"": ""helpful""}]",,,,,False,[],74
falconry,Falconry,,"Keep, train, and work birds of prey for hunting, display, or status use.",Narrow attractive secondary.,wilderness,secondary,"[""animal_handling"", ""wilderness_group""]",[],4,[],"[{""skillId"": ""animal_training"", ""strength"": ""required""}]",,,,,False,[],75
sailing,Sailing,Sailing,Handle sails and work aboard a vessel under routine maritime conditions.,Core sailor profession skill.,wilderness,primary,"[""wilderness_group""]","[""maritime_crew_training"", ""maritime_navigation""]",2,[],[],,,,,False,[],76
navigation,Navigation,Navigation,"Determine route, direction, and position at sea or on major waters.",Distinct captain and pilot core.,wilderness,primary,"[""wilderness_group""]","[""maritime_navigation""]",3,[],"[{""skillId"": ""sailing"", ""strength"": ""required""}, {""skillId"": ""literacy"", ""strength"": ""helpful""}]",,,,,False,[],77
navigation_by_environment,Navigation by Environment,,"Navigate one environment such as open sea, coasts, rivers, lakes, or ice waters.",Strong professional branch.,wilderness,specialization,"[""wilderness_group""]",[],3,[],"[{""skillId"": ""navigation"", ""strength"": ""required""}]",,navigation,6.0,,False,[],78
ropework,Ropework,,"Tie, maintain, and use lines, knots, and rigging.",Excellent shipboard support skill.,wilderness,secondary,"[""wilderness_group""]","[""maritime_crew_training""]",2,[],"[{""skillId"": ""sailing"", ""strength"": ""helpful""}]",,,,,False,[],79
boat_handling,Boat Handling,,Maneuver small craft or directly control a vessel in tight or rough conditions.,Strong practical support skill.,wilderness,secondary,"[""wilderness_group""]","[""maritime_crew_training""]",2,[],"[{""skillId"": ""sailing"", ""strength"": ""helpful""}]",,,,,False,[],80
climb,Climb,Climb,Climb natural or built surfaces safely and efficiently.,Broad adventuring physical core.,physical,primary,"[""athletics""]","[""athletic_conditioning""]",1,[],[],,,,,False,[],90
run,Run,Run,"Sprint, pace, pursue, and move rapidly on foot.",Broad movement core.,physical,primary,"[""athletics""]","[""athletic_conditioning""]",1,[],[],,,,,False,[],91
jump,Jump,,"Leap gaps, obstacles, and vertical distances with control.",Broad movement core.,physical,primary,"[""athletics""]","[""athletic_conditioning""]",1,[],[],,,,,False,[],92
swim,Swim,Swim,Move safely and effectively through water.,Broad physical survival and adventure core.,physical,primary,"[""athletics""]",[],1,[],[],,,,,False,[],93
balance,Balance,,"Keep footing on narrow, unstable, moving, or slippery surfaces.",Cheap narrow movement enhancer.,physical,secondary,"[""athletics""]","[""athletic_conditioning""]",1,[],[],,,,,False,[],94
acrobatics,Acrobatics,Acrobatics,"Tumble, roll, control falls, and use advanced body control.",Stylish secondary; should stay narrower than core athletics.,physical,secondary,"[""athletics""]",[],2,[],"[{""skillId"": ""balance"", ""strength"": ""recommended""}, {""skillId"": ""jump"", ""strength"": ""recommended""}]",,,,,False,[],95
