skillId,name,verbatimDescription,shortDescription,contextNotes,skillType,tier,taxonomyGroupIds,trainingGroupIds,minimumSocietyLevel,typicalSocietyTypeIds,dependencyRules,secondaryOfSkillId,specializationOfSkillId,specializationMinimumParentLevel,notes,isTheoretical,characteristicIds,sortOrder
search,Search,,"Search persons, containers, rooms, or sites for hidden items or traces.",Broad enough to support several roles.,subterfuge,primary,"[""security""]","[""covert_entry"", ""trap_and_intrusion_work""]",2,[],[],,,,,False,[],100
conceal_object,Conceal Object,,"Hide small items on the body, in baggage, or in surroundings.",Good narrow support skill.,subterfuge,secondary,"[""security""]","[""street_theft""]",2,[],"[{""skillId"": ""stealth"", ""strength"": ""helpful""}]",,,,,False,[],101
trap_handling,Trap Handling,,"Detect, avoid, disarm, or set traps and trigger mechanisms.",Useful narrow technical secondary.,subterfuge,secondary,"[""security""]","[""trap_and_intrusion_work""]",2,[],"[{""skillId"": ""search"", ""strength"": ""required""}]",,,,,False,[],102
lockpicking,Pick lock,Pick lock,Open locks without the proper key using tools and tactile knowledge.,Strong classic rogue support skill.,subterfuge,secondary,"[""security""]","[""covert_entry"", ""trap_and_intrusion_work""]",3,[],"[{""skillId"": ""search"", ""strength"": ""required""}]",,,,,False,[],103
pickpocket,Pickpocket,,Steal small items from a person without immediate detection.,Strong narrow urban support skill.,subterfuge,secondary,"[""security""]","[""street_theft""]",3,[],"[{""skillId"": ""stealth"", ""strength"": ""helpful""}]",,,,,False,[],104
stealth,Stealth,Stealth,"Move quietly, stay unnoticed, and avoid attention while approaching or withdrawing.",Core covert movement skill.,subterfuge,primary,"[""stealth_group""]","[""covert_entry"", ""fieldcraft_stealth""]",1,[],[],,,,,False,[],105
hide,Hide,,"Use cover, terrain, darkness, or clutter to remain unseen.",Good narrow stealth support skill.,subterfuge,secondary,"[""stealth_group""]","[""covert_entry"", ""fieldcraft_stealth""]",1,[],"[{""skillId"": ""stealth"", ""strength"": ""required""}]",,,,,False,[],106
camouflage,Camouflage,,"Blend clothing, gear, and body into terrain or surroundings.",Strong terrain-focused support skill.,subterfuge,secondary,"[""stealth_group""]","[""fieldcraft_stealth""]",1,[],"[{""skillId"": ""stealth"", ""strength"": ""required""}]",,,,,False,[],107
disguise,Disguise,Disguise,"Alter appearance, manner, and presentation to pass as another type of person.",Good social-infiltration support skill.,subterfuge,secondary,"[""stealth_group""]",[],3,[],"[{""skillId"": ""stealth"", ""strength"": ""required""}, {""skillId"": ""etiquette"", ""strength"": ""helpful""}]",,,,,False,[],108
pottery,Pottery,,"Shape, fire, and finish clay vessels and ceramic goods.",Very early settled craft.,craft,primary,"[""craft_group""]",[],1,[],[],,,,,False,[],120
weaving,Weaving,,"Produce woven cloth, bands, and simple textiles.",Very early settled craft.,craft,primary,"[""craft_group""]",[],1,[],[],,,,,False,[],121
leatherworking,Leatherworking,,"Cut, cure, shape, and repair leather goods and hide equipment.",Broad practical craft core.,craft,primary,"[""craft_group""]",[],1,[],[],,,,,False,[],122
carpentry,Carpentry,,"Make and repair wooden structures, fittings, tools, and objects.",Broad craft core.,craft,primary,"[""craft_group""]",[],2,[],[],,,,,False,[],123
tailoring,Tailoring,,"Cut, fit, alter, and finish garments.",Attractive support craft.,craft,secondary,"[""craft_group""]",[],2,[],"[{""skillId"": ""weaving"", ""strength"": ""recommended""}]",,,,,False,[],124
baking,Baking,,Prepare and bake bread and staple oven foods reliably.,Useful domestic and provisioning secondary.,craft,secondary,"[""craft_group""]",[],2,[],[],,,,,False,[],125
brewing,Brewing,,"Produce fermented drink from grain, fruit, honey, or similar materials.",Useful domestic and commercial secondary.,craft,secondary,"[""craft_group""]",[],2,[],[],,,,,False,[],126
stoneworking,Stoneworking,,"Cut, dress, shape, and fit stone for tools, structures, and finishes.",Strong structural craft core.,craft,primary,"[""craft_group""]",[],2,[],[],,,,,False,[],127
smithing,Smithing,,"Forge, shape, and repair metal tools, fittings, and simple equipment.",Broad metalworking core.,craft,primary,"[""craft_group""]",[],2,[],[],,,,,False,[],128
blacksmith,Blacksmith,,Forge and repair general metal tools and common metalwork.,Strong broad specialization.,craft,specialization,"[""craft_group""]",[],2,[],"[{""skillId"": ""smithing"", ""strength"": ""required""}]",,smithing,6.0,,False,[],129
armorer,Armorer,,Make and repair armor and defensive equipment.,Military craft specialization.,craft,specialization,"[""craft_group""]",[],3,[],"[{""skillId"": ""smithing"", ""strength"": ""required""}]",,smithing,6.0,,False,[],130
weaponsmith,Weapon Smith,Weapon Smith,Make and repair melee weapons and related combat metalwork.,Military craft specialization.,craft,specialization,"[""craft_group""]",[],3,[],"[{""skillId"": ""smithing"", ""strength"": ""required""}]",,smithing,6.0,,False,[],131
weapon_maintenance,Weapon Maintenance,,"Maintain, repair, and keep weapons serviceable in field or garrison use.","Support skill, not front-line combat skill.",craft,secondary,"[""craft_group"", ""military_group""]",[],1,[],"[{""skillId"": ""smithing"", ""strength"": ""helpful""}]",,,,,False,[],132
medicine,Medicine,Medicine,"Diagnose and treat disease, injury, and bodily disorders using organized medical practice.",Core physician and healer profession skill.,profession,primary,"[""medicine_group""]","[""healing_practice""]",3,[],"[{""skillId"": ""literacy"", ""strength"": ""recommended""}]",,,,,True,[],140
first_aid,First aid,First aid,"Give immediate practical treatment to stabilize wounds, bleeding, shock, and urgent injury.","Intentionally secondary; light, in-the-moment care.",profession,secondary,"[""medicine_group""]","[""healing_practice""]",1,[],[],,,,,False,[],141
herb_lore,Herb lore,Herb lore,"Know medicinal, harmful, and useful plants and their common uses.",Strong low-tech or hybrid healing core.,profession,primary,"[""medicine_group""]","[""herb_and_remedy_craft""]",1,[],[],,,,,False,[],142
poison_lore,Poison Lore,Poison Lore,"Know poisons, toxins, symptoms, preparation, and antidotal principles.",Broad enough to define roles on its own.,profession,primary,"[""medicine_group""]","[""herb_and_remedy_craft""]",2,[],"[{""skillId"": ""herb_lore"", ""strength"": ""recommended""}, {""skillId"": ""literacy"", ""strength"": ""helpful""}]",,,,,False,[],143
pharmacy,Pharmacy,,"Prepare, compound, preserve, and dispense remedies and medical substances.",Strong support secondary.,profession,secondary,"[""medicine_group""]","[""herb_and_remedy_craft""]",3,[],"[{""skillId"": ""medicine"", ""strength"": ""recommended""}, {""skillId"": ""herb_lore"", ""strength"": ""recommended""}, {""skillId"": ""literacy"", ""strength"": ""recommended""}]",,,,,False,[],144
nursing,Nursing,,"Give ongoing care, monitoring, hygiene, and recovery support.",Good practical support skill.,profession,secondary,"[""medicine_group""]","[""healing_practice""]",2,[],"[{""skillId"": ""first_aid"", ""strength"": ""helpful""}]",,,,,False,[],145
surgery,Surgery,,Treat wounds and bodily problems through invasive intervention.,Clear post-training specialization.,profession,specialization,"[""medicine_group""]",[],3,[],"[{""skillId"": ""medicine"", ""strength"": ""required""}]",,medicine,6.0,,False,[],146
bone_setting,Bone Setting,,"Set fractures, dislocations, and structural injuries.",Broad useful specialization.,profession,specialization,"[""medicine_group""]",[],2,[],"[{""skillId"": ""medicine"", ""strength"": ""required""}, {""skillId"": ""first_aid"", ""strength"": ""helpful""}]",,medicine,6.0,,False,[],147
obstetrics,Obstetrics,,"Manage pregnancy, childbirth, and maternal care.",Strong healer branch.,profession,specialization,"[""medicine_group""]",[],2,[],"[{""skillId"": ""medicine"", ""strength"": ""required""}, {""skillId"": ""nursing"", ""strength"": ""helpful""}]",,medicine,6.0,,False,[],148
poison_treatment,Poison Treatment,,"Diagnose and treat poisoning, envenomation, and toxic injury.",Good anti-poison branch.,profession,specialization,"[""medicine_group""]",[],3,[],"[{""skillId"": ""medicine"", ""strength"": ""required""}, {""skillId"": ""poison_lore"", ""strength"": ""recommended""}]",,medicine,6.0,,False,[],149
battlefield_surgery,Battlefield Surgery,,Perform urgent surgical treatment under combat or camp conditions.,Common-professional or elite depending later tuning.,profession,specialization,"[""medicine_group""]",[],3,[],"[{""skillId"": ""surgery"", ""strength"": ""required""}, {""skillId"": ""first_aid"", ""strength"": ""helpful""}]",,surgery,6.0,,False,[],150
heart_surgery,Heart Surgery,,Perform highly advanced thoracic or cardiac surgery.,Elite specialization only.,profession,specialization,"[""medicine_group""]",[],6,[],"[{""skillId"": ""surgery"", ""strength"": ""required""}]",,surgery,11.0,,False,[],151
divination,Divination,,"Interpret signs, omens, visions, or ritual indicators for hidden meaning.",Broad mystical core.,mystical,primary,"[""mystical_group""]","[""omen_and_ritual_practice""]",2,[],[],,,,,False,[],160
omen_reading,Omen Reading,,"Read natural signs, chance events, or behavior as meaningful omens.",Narrow attractive mystical support skill.,mystical,secondary,"[""mystical_group""]","[""omen_and_ritual_practice""]",2,[],"[{""skillId"": ""divination"", ""strength"": ""required""}]",,,,,False,[],161
ritual_interpretation,Ritual Interpretation,,"Interpret ritual forms, sacred procedures, and prescribed signs.",Institutional mystical support skill.,mystical,secondary,"[""mystical_group""]","[""sacred_learning"", ""omen_and_ritual_practice""]",3,[],"[{""skillId"": ""divination"", ""strength"": ""required""}, {""skillId"": ""theology"", ""strength"": ""helpful""}]",,,,,False,[],162
astrology,Astrology,,"Use heavenly bodies and sign systems to interpret destiny, timing, or influence.",Learned mystical support skill.,mystical,secondary,"[""mystical_group""]",[],3,[],"[{""skillId"": ""divination"", ""strength"": ""required""}, {""skillId"": ""mathematics"", ""strength"": ""helpful""}, {""skillId"": ""astronomy"", ""strength"": ""helpful""}]",,,,,False,[],163
augury,Augury,,Interpret omens through a formalized sanctioned method.,Specialized formal divination branch.,mystical,specialization,"[""mystical_group""]",[],3,[],"[{""skillId"": ""omen_reading"", ""strength"": ""required""}]",,omen_reading,6.0,,False,[],164
dodge,Dodge,Dodge,"Avoid attacks through movement, timing, and body positioning.",Core defense; part of real melee training.,combat,primary,"[""combat_group""]","[""basic_melee_training"", ""basic_missile_training"", ""advanced_melee_training"", ""advanced_missile_training"", ""defensive_soldiering"", ""mounted_warrior_training"", ""field_soldiering""]",1,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Dex / Dex.,False,[],200
parry,Parry,Parry,Defend with weapon or shield by turning aside or controlling an attack.,Core defense; includes shield use in base model.,combat,primary,"[""combat_group""]","[""basic_melee_training"", ""advanced_melee_training"", ""defensive_soldiering"", ""mounted_warrior_training""]",1,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Dex / Dex.,False,[],201
brawling,Brawling,Brawling,"Fight effectively with punches, kicks, grapples, and rough unarmed violence.",Baseline unarmed attack skill.,combat,primary,"[""combat_group""]",[],1,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Str / Dex; note: 'Use either stat'.,False,[],202
one_handed_edged,1-h edged,1-h edged,Fight with one-handed bladed weapons.,Core melee attack family.,combat,primary,"[""combat_group""]","[""mounted_warrior_training""]",1,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Str / Dex; note: 'Use either stat'.,False,[],203
one_handed_concussion_axe,1-h conc./axe,1-h conc./axe,Fight with one-handed crushing or chopping weapons such as maces and axes.,Core melee attack family.,combat,primary,"[""combat_group""]",[],1,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Str / Dex; note: 'Use either stat'.,False,[],204
two_handed_edged,2-h edged,2-h edged,"Fight with large two-handed bladed weapons using strength, reach, and committed technique.",Heavy cutting or slashing weapon family. Split from the former broad 2-handed Weapons row to align better with the source combat structure.,combat,primary,"[""combat_group""]",[],1,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Str / Dex; note: 'Use either stat'.,False,[],205
polearms,Polearms,Polearms,Fight with spears and longer pole weapons used at reach.,Very important common-soldier weapon family.,combat,primary,"[""combat_group""]",[],1,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Str / Dex; note: 'Use either stat'.,False,[],206
two_handed_concussion_axe,2-h conc./axe,2-h conc./axe,"Fight with large two-handed crushing or chopping weapons such as great axes, hammers, or mauls.",Heavy impact/chopping weapon family. Split from the former broad 2-handed Weapons row to align better with the source combat structure.,combat,primary,"[""combat_group""]",[],1,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Str / Dex; note: 'Use either stat'.,False,[],206
lance,Lance,Lance,"Fight with lance-type weapons, especially in mounted or reach-based military use.",Core cavalry attack family.,combat,primary,"[""combat_group""]","[""mounted_warrior_training""]",2,[],"[{""skillId"": ""riding"", ""strength"": ""recommended""}]",,,,Themistogenes Skills sheet: Combat skill; source stats Str / Dex; note: 'Use either stat'.,False,[],207
throwing,Throwing,Throwing,"Attack accurately with thrown weapons such as javelins, knives, or axes.",Practical ranged family.,combat,primary,"[""combat_group""]",[],1,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Dex / Dex.,False,[],208
sling,Sling,Sling,Use sling-based missile weapons effectively in combat or hunting.,Distinct missile family.,combat,primary,"[""combat_group""]",[],1,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Dex / Dex.,False,[],209
bow,Bow,Bow,Use ordinary bows effectively in combat or hunting.,Core ranged family.,combat,primary,"[""combat_group""]",[],1,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Dex / Dex.,False,[],210
longbow,Longbow,Longbow,"Use powerful longbows requiring strength, discipline, and trained missile technique.",More specialized than ordinary bow use.,combat,primary,"[""combat_group""]",[],2,[],"[{""skillId"": ""bow"", ""strength"": ""helpful""}]",,,,Themistogenes Skills sheet: Combat skill; source stats Dex / Dex.,False,[],211
crossbow,Crossbow,Crossbow,Use mechanically spanned missile weapons effectively in combat.,Later-society missile family.,combat,primary,"[""combat_group""]",[],3,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Dex / Dex.,False,[],212
combat_experience,Combat Experience,,Stay functional and rational under lethal danger and battlefield shock.,Veteran-facing secondary; not baseline novice training.,military,secondary,"[""military_group""]","[""veteran_soldiering"", ""veteran_leadership""]",1,[],[],,,,,False,[],213
battlefield_awareness,Battlefield Awareness,,"Read immediate battlefield danger, openings, movement, and changing threats under pressure.",Military layer above general Perception.,military,secondary,"[""military_group""]","[""field_soldiering"", ""veteran_soldiering""]",2,[],"[{""skillId"": ""perception"", ""strength"": ""required""}]",,,,,False,[],214
formation_fighting,Formation Fighting,,"Hold place and fight coherently within a rank, line, shield wall, or drilled group.",Key line-troop skill.,military,secondary,"[""military_group""]","[""defensive_soldiering""]",2,[],"[{""skillId"": ""parry"", ""strength"": ""recommended""}]",,,,,False,[],215
mounted_combat,Mounted Combat,,"Fight effectively while mounted and control attack timing, position, and weapon use in motion.",Mounted support skill.,combat,secondary,"[""combat_group"", ""military_group""]",[],2,[],"[{""skillId"": ""riding"", ""strength"": ""required""}]",,,,,False,[],216
tactics,Tactics,,"Understand battlefield positioning, timing, coordination, and practical combat plans.",Officer and planner skill distinct from direct troop-control.,military,primary,"[""military_group""]","[""officer_training"", ""veteran_leadership""]",2,[],"[{""skillId"": ""perception"", ""strength"": ""helpful""}, {""skillId"": ""literacy"", ""strength"": ""helpful""}]",,,,,False,[],217
captaincy,Captaincy,Captaincy,"Lead fighters, maintain order, and get people to act coherently under pressure.",Practical troop-control and morale skill; distinct from Tactics.,military,primary,"[""military_group""]","[""officer_training"", ""veteran_leadership""]",2,[],"[{""skillId"": ""insight"", ""strength"": ""helpful""}, {""skillId"": ""oratory"", ""strength"": ""helpful""}, {""skillId"": ""combat_experience"", ""strength"": ""helpful""}]",,,,Themistogenes Skills sheet: Social skill; source stats Pow / Pow.,False,[],218
fencing,Fencing,Fencing,Fight with fast refined civilian or dueling blades such as rapier and related weapons.,Advanced level-6 style branch.,combat,specialization,"[""combat_group""]",[],6,"[""renaissance_city_state""]","[{""skillId"": ""one_handed_edged"", ""strength"": ""required""}, {""skillId"": ""dodge"", ""strength"": ""helpful""}, {""skillId"": ""parry"", ""strength"": ""helpful""}]",,one_handed_edged,6.0,Themistogenes Skills sheet: Combat skill; source stats Str / Dex; note: 'Use either stat'.,False,[],219
sword_and_buckler_or_main_gauche_style,Sword & Buckler / Main-Gauche Style,,Fight using a main blade with an active off-hand defensive or companion weapon.,Future style branch.,combat,specialization,"[""combat_group""]",[],4,[],"[{""skillId"": ""one_handed_edged"", ""strength"": ""required""}, {""skillId"": ""parry"", ""strength"": ""required""}]",,one_handed_edged,6.0,,False,[],220
gladiatorial_style,Gladiatorial Style,,Fight within a specialized weapon-and-style tradition designed for formal duel or arena contexts.,Placeholder family for later gladiatorial branches.,combat,specialization,"[""combat_group""]",[],3,[],[],,,6.0,Parent attack skill depends on branch.,False,[],221
regional_martial_style,Regional Martial Style,,Apply a named regional or school-based martial tradition using an existing weapon family or unarmed parent.,"Placeholder family for later Japanese, Chinese, ninja, samurai, and similar traditions.",combat,specialization,"[""combat_group""]",[],1,[],[],,,6.0,Parent skill varies by branch.,False,[],222
